folder,canny_time,prewitt_time,sobel_time,laplacian_time
1,0.001950741,0,0.001013279,0.001036406
2,0.054953337,0.022001266,0.024001122,0.087004423
3,0.00295043,0.001999617,0.002000332,0.014019489
4,0.001981497,0,0.001052141,0.001998186
5,0.00095129,0.000999212,0,0.00200057
6,0.022951126,0.008001566,0.008000612,0.036001444
7,0.023000717,0.010026455,0.009025574,0.039001942
8,0.003999472,0.001050234,0.00200057,0.009001017
9,0.028001785,0.010000706,0.010000467,0.042002678
10,0.00399971,0.002001047,0.00200057,0.01099968
11,0.00295043,0.001018524,0.001031637,0.004950047
12,0.00600028,0.0020051,0.001999617,0.009995937
13,0.001000166,0,0.001000166,0.002001047
14,0.006999731,0.002000093,0.00200057,0.009000301
15,0.001950264,0,0.001001358,0.001999855
16,0.014000177,0.004999876,0.006000757,0.021000624
17,0.000999928,0,0.001000404,0.004000664
18,0.003950357,0.001000881,0.00104928,0.006000042
19,0.000950336,0.000999689,0,0.002000093
20,0.000951767,0.000999451,0,0.001049042
21,0.000950575,0,0.001000643,0.001049519
22,0.00295043,0.001000643,0.00104928,0.005000353
23,0.002000093,0,0.000999928,0.00100112
24,0.000999212,0,0,0.002050638
25,0.067954302,0.027001143,0.030006886,0.107000589
26,0.005950451,0.004050016,0.004000187,0.022001028
27,0.006999969,0.004001856,0.002999783,0.012000561
28,0.003949165,0.002050161,0.00100112,0.006000042
29,0.003950596,0.00101614,0.001034021,0.006000042
30,0.00200057,0,0.000999689,0.001999617
31,0.026001453,0.010000706,0.009000301,0.039001942
32,0.010973215,0.005050659,0.005000591,0.024001122
33,0.003998995,0.002000093,0.00200057,0.008000135
34,0.001950264,0.001000643,0.00104928,0.00500083
35,0.006000519,0.002049685,0.002001047,0.008999825
36,0.011000872,0.004000425,0.004050732,0.018000603
37,0.00196147,0,0.001039028,0.003000498
38,0.000986576,0,0,0.002048969
39,0.003000736,0.000999689,0.001049519,0.003959417
40,0.000946045,0,0.001009941,0.001039743
